MunicipalDistrict_ru,Year,Working_age_population,Agricultural_employment
Абатский район,2006,13923,1764
Армизонский район,2006,6149,531
Аромашевский район,2006,8315,600
Бердюжский район,2006,7415,867
Вагайский район,2006,14616,488
Викуловский район,2006,11106,1166
Голышмановский район,2006,17220,1078
Исетский район,2006,16338,1384
Ишимский район,2006,20191,4174
Казанский район,2006,14053,2810
Нижнетавдинский район,2006,14424,878
Омутинский район,2006,12362,964
Сладковский район,2006,8774,822
Сорокинский район,2006,7068,874
Тобольский район,2006,14398,552
Тюменский район,2006,59200,7051
Уватский район,2006,12853,146
Упоровский район,2006,12698,2656
Юргинский район,2006,7708,659
Ялуторовский район,2006,9543,1324
Ярковский район,2006,15524,604
Заводоуковский городской округ,2006,13142,2537